top - 11:18:00 up 12 min,  1 user,  load average: 0.66, 0.39, 0.30
Tasks: 354 total,   4 running, 350 sleeping,   0 stopped,   0 zombie
%Cpu(s):  8.3 us, 50.0 sy,  0.0 ni, 25.0 id, 13.3 wa,  0.0 hi,  3.3 si,  0.0 st
MiB Mem :   3878.7 total,   1955.7 free,   1502.7 used,    687.1 buff/cache
MiB Swap:    975.0 total,    975.0 free,      0.0 used.   2376.0 avail Mem

PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
BLACKLISTED:      71 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
BLACKLISTED:      72 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
BLACKLISTED:      73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
BLACKLISTED:      74 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
BLACKLISTED:      75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
BLACKLISTED:      76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
BLACKLISTED:      77 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
BLACKLISTED:      78 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
BLACKLISTED:      79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
BLACKLISTED:      80 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
BLACKLISTED:      81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
BLACKLISTED:      82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
BLACKLISTED:      83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
BLACKLISTED:      84 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-+
BLACKLISTED:      85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-+
BLACKLISTED:      86 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/40-+
BLACKLISTED:      87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-+
BLACKLISTED:      88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-+
BLACKLISTED:      89 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-+
BLACKLISTED:      90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/44-+
BLACKLISTED:      91 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/45-+
BLACKLISTED:      92 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-+
BLACKLISTED:      93 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
BLACKLISTED:      94 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
BLACKLISTED:      95 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
BLACKLISTED:      96 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
BLACKLISTED:      97 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
BLACKLISTED:      98 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
BLACKLISTED:      99 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
