Timestamp: 2024-05-23 11:18:47 | User: root | Group: tty | Event: CREATE, File: /dev/pts/1, Blacklisted: false
Timestamp: 2024-05-23 11:18:47 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/1, Blacklisted: false
Timestamp: 2024-05-23 11:18:47 | User: root | Group: tty | Event: CREATE, File: /dev/pts/3, Blacklisted: false
Timestamp: 2024-05-23 11:18:47 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/3, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: kali | Group: kali | Event: ATTRIB, File: /home/kali/FInal_OSTelem/SERVICEFILE/Liveprocess.sh, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: DELETE, File: /dev/pts/3, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: CREATE, File: /dev/pts/3, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/3, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: DELETE, File: /dev/pts/3, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: CREATE, File: /dev/pts/3, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/3, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: CREATE, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: CREATE, File: /dev/pts/5, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/5, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: kali | Group: kali | Event: ATTRIB, File: /home/kali/FInal_OSTelem/SERVICEFILE/Memory.sh, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: DELETE, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: N/A | Group: N/A | Event: CREATE, File: /tmp/aurules.bc5ZlskF, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: N/A | Group: N/A | Event: MODIFY, File: /tmp/aurules.bc5ZlskF, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: N/A | Group: N/A | Event: DELETE, File: /tmp/aurules.bc5ZlskF, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: DELETE, File: /dev/pts/3, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: N/A | Group: N/A | Event: CREATE, File: /home/kali/.local/share/gvfs-metadata/root.CIKVN2, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: N/A | Group: N/A | Event: MODIFY, File: /home/kali/.local/share/gvfs-metadata/root.CIKVN2, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: N/A | Group: N/A | Event: CREATE, File: /home/kali/.local/share/gvfs-metadata/root-1389edb1.log.Z4EVN2, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: N/A | Group: N/A | Event: MODIFY, File: /home/kali/.local/share/gvfs-metadata/root-1389edb1.log.Z4EVN2, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: N/A | Group: N/A | Event: MOVED_FROM, File: /home/kali/.local/share/gvfs-metadata/root-1389edb1.log.Z4EVN2, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: kali | Group: kali | Event: MOVED_TO, File: /home/kali/.local/share/gvfs-metadata/root-1389edb1.log, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: N/A | Group: N/A | Event: MOVED_FROM, File: /home/kali/.local/share/gvfs-metadata/root.CIKVN2, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: kali | Group: kali | Event: MOVED_TO, File: /home/kali/.local/share/gvfs-metadata/root, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: N/A | Group: N/A | Event: DELETE, File: /home/kali/.local/share/gvfs-metadata/root-a49a91db.log, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: CREATE, File: /dev/pts/3, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/3, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: CREATE, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: CREATE, File: /dev/pts/6, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/6, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: kali | Group: kali | Event: ATTRIB, File: /home/kali/FInal_OSTelem/SERVICEFILE/Network.sh, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: DELETE, File: /dev/pts/6, Blacklisted: false
Timestamp: 2024-05-23 11:18:48 | User: N/A | Group: N/A | Event: CREATE, File: /etc/default/sedm86mn0, Blacklisted: true
Timestamp: 2024-05-23 11:18:48 | User: N/A | Group: N/A | Event: ATTRIB, File: /etc/default/sedm86mn0, Blacklisted: true
Timestamp: 2024-05-23 11:18:48 | User: N/A | Group: N/A | Event: MODIFY, File: /etc/default/sedm86mn0, Blacklisted: true
Timestamp: 2024-05-23 11:18:48 | User: N/A | Group: N/A | Event: MOVED_FROM, File: /etc/default/sedm86mn0, Blacklisted: true
Timestamp: 2024-05-23 11:18:48 | User: root | Group: root | Event: MOVED_TO, File: /etc/default/sysstat, Blacklisted: true
Timestamp: 2024-05-23 11:18:48 | User: root | Group: tty | Event: DELETE, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:49 | User: root | Group: tty | Event: CREATE, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:49 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:49 | User: N/A | Group: N/A | Event: CREATE, File: /etc/default/sedcd4Z7V, Blacklisted: true
Timestamp: 2024-05-23 11:18:49 | User: N/A | Group: N/A | Event: ATTRIB, File: /etc/default/sedcd4Z7V, Blacklisted: true
Timestamp: 2024-05-23 11:18:49 | User: N/A | Group: N/A | Event: MODIFY, File: /etc/default/sedcd4Z7V, Blacklisted: true
Timestamp: 2024-05-23 11:18:49 | User: N/A | Group: N/A | Event: MOVED_FROM, File: /etc/default/sedcd4Z7V, Blacklisted: true
Timestamp: 2024-05-23 11:18:49 | User: root | Group: root | Event: MOVED_TO, File: /etc/default/sysstat, Blacklisted: true
Timestamp: 2024-05-23 11:18:49 | User: root | Group: tty | Event: DELETE, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:49 | User: root | Group: tty | Event: CREATE, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:49 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:49 | User: root | Group: tty | Event: DELETE, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:49 | User: root | Group: tty | Event: CREATE, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:49 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:49 | User: root | Group: tty | Event: CREATE, File: /dev/pts/6, Blacklisted: false
Timestamp: 2024-05-23 11:18:49 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/6, Blacklisted: false
Timestamp: 2024-05-23 11:18:49 | User: kali | Group: kali | Event: ATTRIB, File: /home/kali/FInal_OSTelem/SERVICEFILE/Process_info.sh, Blacklisted: false
Timestamp: 2024-05-23 11:18:49 | User: root | Group: tty | Event: DELETE, File: /dev/pts/6, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: root | Group: tty | Event: MODIFY, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: root | Group: tty | Event: MODIFY, File: /dev/tty, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: root | Group: tty | Event: MODIFY, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: root | Group: tty | Event: MODIFY, File: /dev/tty, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: root | Group: root | Event: CREATE, File: /tmp/wireshark_eth0NWXYN2.pcapng, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: root | Group: root | Event: MODIFY, File: /tmp/wireshark_eth0NWXYN2.pcapng, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: root | Group: tty | Event: CREATE, File: /dev/pts/6, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/6, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: root | Group: tty | Event: CREATE, File: /dev/pts/7, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/7, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: kali | Group: kali | Event: ATTRIB, File: /home/kali/FInal_OSTelem/SERVICEFILE/ioping.sh, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: root | Group: tty | Event: DELETE, File: /dev/pts/7, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: N/A | Group: N/A | Event: CREATE,ISDIR, File: /tmp/firefox-esr, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: kali | Group: kali | Event: MODIFY, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/.parentlock, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: N/A | Group: N/A | Event: DELETE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/lock, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: N/A | Group: N/A | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/lock, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: N/A | Group: N/A | Event: CREATE, File: /home/kali/.cache/mozilla/firefox/jy3oql7b.default-esr/.startup-incomplete, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: N/A | Group: N/A | Event: MOVED_FROM, File: /home/kali/.cache/mozilla/firefox/jy3oql7b.default-esr/startupCache/scriptCache-child.bin, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: kali | Group: kali | Event: MOVED_TO, File: /home/kali/.cache/mozilla/firefox/jy3oql7b.default-esr/startupCache/scriptCache-child-current.bin, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: kali | Group: kali | Event: MOVED_FROM, File: /home/kali/.cache/mozilla/firefox/jy3oql7b.default-esr/startupCache/urlCache.bin, Blacklisted: false
Timestamp: 2024-05-23 11:18:50 | User: kali | Group: kali | Event: MOVED_TO, File: /home/kali/.cache/mozilla/firefox/jy3oql7b.default-esr/startupCache/urlCache-current.bin, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User:  | Group:  | Event: MOVED_FROM,ISDIR, File: /home/kali/.cache/mozilla/firefox/jy3oql7b.default-esr/cache2/doomed, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User:  | Group:  | Event: MOVED_TO,ISDIR, File: /home/kali/.cache/mozilla/firefox/jy3oql7b.default-esr/cache2/trash58458957, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User:  | Group:  | Event: MOVE_SELF, File: /home/kali/.cache/mozilla/firefox/jy3oql7b.default-esr/cache2/trash58458957/, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User: N/A | Group: N/A | Event: MOVED_FROM, File: /home/kali/.cache/mozilla/firefox/jy3oql7b.default-esr/cache2/index.log, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User: N/A | Group: N/A | Event: MOVED_TO, File: /home/kali/.cache/mozilla/firefox/jy3oql7b.default-esr/cache2/index.tmp, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User: kali | Group: kali | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/cookies.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User: kali | Group: kali | Event: DELETE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/cookies.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User:  | Group:  | Event: CREATE,ISDIR, File: /home/kali/.cache/mozilla/firefox/jy3oql7b.default-esr/cache2/doomed, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User: N/A | Group: N/A | Event: MOVED_FROM, File: /home/kali/.cache/mozilla/firefox/jy3oql7b.default-esr/cache2/index.tmp, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User: kali | Group: kali | Event: MODIFY, File: /home/kali/.cache/mozilla/firefox/jy3oql7b.default-esr/cache2/index, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User:  | Group:  | Event: CREATE,ISDIR, File: /tmp/Temp-96127f73-2df0-42ec-82b1-29d65d54f9a4, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User: N/A | Group: N/A | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/sessionCheckpoints.json.tmp, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User: N/A | Group: N/A | Event: MODIFY, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/sessionCheckpoints.json.tmp, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User: N/A | Group: N/A | Event: MOVED_FROM, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/sessionCheckpoints.json.tmp, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User: kali | Group: kali | Event: MOVED_TO, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/sessionCheckpoints.json, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User: root | Group: tty | Event: CREATE, File: /dev/pts/7, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/7, Blacklisted: false
Timestamp: 2024-05-23 11:18:51 | User: root | Group: tty | Event: CREATE, File: /dev/pts/8, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/8, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: kali | Group: kali | Event: ATTRIB, File: /home/kali/FInal_OSTelem/SERVICEFILE/iostat.sh, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: root | Group: tty | Event: DELETE, File: /dev/pts/7, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: N/A | Group: N/A | Event: DELETE,ISDIR, File: /tmp/firefox-esr, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: N/A | Group: N/A | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/prefs-1.js, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: N/A | Group: N/A | Event: MODIFY, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/prefs-1.js, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: N/A | Group: N/A | Event: MOVED_FROM, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/prefs-1.js, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: kali | Group: kali | Event: MOVED_TO, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/prefs.js, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: kali | Group: kali | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/cookies.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: kali | Group: kali | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage/permanent/chrome/idb/3870112724rsegmnoittet-es.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: kali | Group: kali | Event: DELETE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage/permanent/chrome/idb/3870112724rsegmnoittet-es.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: kali | Group: kali | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage/permanent/chrome/idb/3870112724rsegmnoittet-es.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: N/A | Group: N/A | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/sessionCheckpoints.json.tmp, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: N/A | Group: N/A | Event: MODIFY, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/sessionCheckpoints.json.tmp, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: N/A | Group: N/A | Event: MOVED_FROM, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/sessionCheckpoints.json.tmp, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: kali | Group: kali | Event: MOVED_TO, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/sessionCheckpoints.json, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: kali | Group: kali | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage/permanent/chrome/idb/1451318868ntouromlalnodry--epcr.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: kali | Group: kali | Event: DELETE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage/permanent/chrome/idb/1451318868ntouromlalnodry--epcr.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:52 | User: N/A | Group: N/A | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage/permanent/chrome/idb/1657114595AmcateirvtiSty.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: N/A | Group: N/A | Event: DELETE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage/permanent/chrome/idb/1657114595AmcateirvtiSty.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: kali | Group: kali | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage/permanent/chrome/idb/1451318868ntouromlalnodry--epcr.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: N/A | Group: N/A | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage/permanent/chrome/idb/1657114595AmcateirvtiSty.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: N/A | Group: N/A | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/prefs-1.js, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: N/A | Group: N/A | Event: MODIFY, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/prefs-1.js, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: kali | Group: kali | Event: MODIFY, File: /home/kali/.cache/mozilla/firefox/jy3oql7b.default-esr/cache2/entries/6D89348819C8881868053197CA0754F36784BF5F, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: N/A | Group: N/A | Event: MOVED_FROM, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/prefs-1.js, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: kali | Group: kali | Event: MOVED_TO, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/prefs.js, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: kali | Group: kali | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/places.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: root | Group: tty | Event: CREATE, File: /dev/pts/7, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/7, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: kali | Group: kali | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/favicons.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: root | Group: tty | Event: CREATE, File: /dev/pts/9, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: root | Group: tty | Event: ATTRIB, File: /dev/pts/9, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: kali | Group: kali | Event: ATTRIB, File: /home/kali/FInal_OSTelem/SERVICEFILE/iotop.sh, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: root | Group: tty | Event: DELETE, File: /dev/pts/9, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: kali | Group: kali | Event: MODIFY, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/places.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: root | Group: root | Event: MODIFY, File: /tmp/wireshark_eth0NWXYN2.pcapng, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: root | Group: tty | Event: MODIFY, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: root | Group: tty | Event: MODIFY, File: /dev/tty, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: kali | Group: kali | Event: MODIFY, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/places.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: N/A | Group: N/A | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/content-prefs.sqlite-journal, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: N/A | Group: N/A | Event: MODIFY, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/content-prefs.sqlite-journal, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: kali | Group: kali | Event: MODIFY, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/content-prefs.sqlite, Blacklisted: false
Timestamp: 2024-05-23 11:18:53 | User: N/A | Group: N/A | Event: DELETE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/content-prefs.sqlite-journal, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: N/A | Group: N/A | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage/permanent/chrome/idb/3561288849sdhlie.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: N/A | Group: N/A | Event: DELETE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage/permanent/chrome/idb/3561288849sdhlie.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: N/A | Group: N/A | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/protections.sqlite-journal, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: N/A | Group: N/A | Event: MODIFY, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/protections.sqlite-journal, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: kali | Group: kali | Event: MODIFY, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/protections.sqlite, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: N/A | Group: N/A | Event: DELETE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/protections.sqlite-journal, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: N/A | Group: N/A | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage/permanent/chrome/idb/3561288849sdhlie.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: root | Group: root | Event: MODIFY, File: /tmp/wireshark_eth0NWXYN2.pcapng, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: root | Group: tty | Event: MODIFY, File: /dev/tty, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: root | Group: tty | Event: MODIFY, File: /dev/pts/4, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: kali | Group: kali | Event: MODIFY, File: /home/kali/.cache/mozilla/firefox/jy3oql7b.default-esr/cache2/entries/C72D4296C2EBC6FD41A9F780CD0C8F30F0FF937C, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: N/A | Group: N/A | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage.sqlite-journal, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: N/A | Group: N/A | Event: MODIFY, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage.sqlite-journal, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: kali | Group: kali | Event: MODIFY, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage.sqlite, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: N/A | Group: N/A | Event: DELETE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage.sqlite-journal, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: N/A | Group: N/A | Event: CREATE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage/permanent/chrome/idb/2823318777ntouromlalnodry--naod.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: N/A | Group: N/A | Event: DELETE, File: /home/kali/.mozilla/firefox/jy3oql7b.default-esr/storage/permanent/chrome/idb/2823318777ntouromlalnodry--naod.sqlite-wal, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: root | Group: root | Event: MODIFY, File: /tmp/wireshark_eth0NWXYN2.pcapng, Blacklisted: false
Timestamp: 2024-05-23 11:18:54 | User: root | Group: tty | Event: MODIFY, File: /dev/pts/4, Blacklisted: false
